Stage,Algorithm,Metric,AUC mean,AUC std,EER mean,EER std
Before,pdq,Hamming,0.9176736344186667,0.1968352038270617,0.09428766666666666,0.20819161994822621
Before,pdq,Cosine,0.9176730783,0.1968349249933976,0.09428766666666666,0.20819161994822621
Before,pdq,Jaccard,0.9176730781293333,0.196834924907828,0.09428766666666666,0.20819161994822621
Before,phash,Hamming,0.9147231801386666,0.20430024251794815,0.10000666666666665,0.21490918367223552
Before,phash,Cosine,0.914722821728,0.20430007847229706,0.10000666666666665,0.21490918367223552
Before,phash,Jaccard,0.914722821728,0.20430007847229706,0.10000666666666665,0.21490918367223552
Before,wave,Hamming,0.8983085906746667,0.1564729022843321,0.12951633333333332,0.17847243233806911
Before,wave,Cosine,0.8982791485799999,0.15649123731072673,0.12952866666666665,0.17848331071634307
Before,wave,Jaccard,0.8982792575746665,0.15648925417711207,0.12952866666666665,0.17848403010540376
After,pdq,Hamming,0.99250688984,0.014648021715094195,0.02231733333333333,0.03506980053930544
After,pdq,Cosine,0.9984978809933333,0.0018629890646960229,0.00932233333333334,0.009835652976120433
After,pdq,Jaccard,0.9922890087213333,0.015008226414751814,0.02272133333333333,0.03549655482249886
After,phash,Hamming,0.9466057302093335,0.1259132922840812,0.06682833333333334,0.1319701469782718
After,phash,Cosine,0.9671802405506668,0.07471513391625907,0.051103666666666665,0.09216279275644085
After,phash,Jaccard,0.9458719806386666,0.127682104562968,0.06797033333333334,0.13446009794086372
After,wave,Hamming,0.9015686472706665,0.15144704653640614,0.125826,0.1756994760424743
After,wave,Cosine,0.8962229144293333,0.16116981536532493,0.12841833333333333,0.1802884813377346
After,wave,Jaccard,0.8973437757760001,0.1589049944393739,0.12806199999999998,0.1784556118882228
